episode,steps,total_reward,eps,yield_kg_ha,n_applied_kg_ha,n_uptake_kg_ha,nue_re,nue_ie,nue_eunep,nue_fert,nsurp,nsurp_fert,n_apps
1,48,147.59956699744248,0.4464,8226.10596121773,90.0,235.54118606670477,2.519075716363693,0.710709065813494,1.7903299490978992,1.8600139589880087,-73.89823671747087,-77.40125631078081,2
2,48,166.3540866036835,0.4428288,9427.626278619668,240.0,364.7604141687036,1.4979719089064443,0.5259676963757685,0.787884834165295,0.7993841448712952,51.650645302364296,48.14780523008977,4
3,48,146.1710602593496,0.4392861696,8147.474005578772,90.0,244.82430071877891,2.618368905976661,0.6772248323637641,1.7732244434237794,1.842234400129842,-72.29849591874108,-75.80109601352802,4
4,48,146.53639713953655,0.4357718802432,8178.862615706309,100.0,252.01480458367203,2.4348472640683965,0.6604368124480674,1.6080627658856104,1.66439854227959,-62.93652229571613,-66.43985422962339,4
5,48,154.97280776768162,0.4322857052012544,8643.243670814201,100.0,250.9189989723067,2.424292464105603,0.7009832233540059,1.6993883458483439,1.758900086993101,-72.38805805566525,-75.89000870106901,4
6,48,146.02022298560365,0.4288274195596444,8150.449880861104,100.0,241.57457432243237,2.3339979233688997,0.6865857284031035,1.6024896643142001,1.6586165507386483,-62.35917467425176,-65.86165507552346,4
7,48,152.91904256747557,0.4253968002031672,8665.538755296722,220.0,347.1263778191319,1.5531165044868636,0.5080101223585582,0.7889989054837407,0.8015623348613035,47.15940204237768,43.65628632971169,4
8,48,151.21046022641866,0.42199362580154187,8436.1457712566,100.0,251.2060799027059,2.4270506989389093,0.683405300185727,1.6586593114809265,1.7167556644335507,-68.17295728651388,-71.67556644507184,4
9,48,155.17929020667836,0.4186176767951295,8688.445544486067,130.0,278.8511215067671,2.088733223999077,0.634065467889347,1.3243936089757484,1.3600758986840877,-43.30735999948061,-46.80986683029147,4
10,48,160.93994911864272,0.4152687353807685,9005.540216802043,130.0,279.22218970664323,2.091497768281317,0.6563330213970637,1.372719049506209,1.4097134108500913,-49.75928290667713,-53.262743411921576,4
11,48,148.94149346912687,0.41194658549772234,8311.250810212301,100.0,247.83442133502516,2.394474060366987,0.6824473899793799,1.6341025728773722,1.6913395398612898,-65.63129950734266,-69.13395398782032,4
12,48,155.34834968605458,0.40865101281374056,8697.751400124102,130.0,265.4334148791534,1.9882262723659827,0.6668310433802876,1.325810999682903,1.3615326230089535,-43.49662181563454,-46.99924099252547,4
13,48,157.90536570816622,0.40538180471123064,8804.665916671229,100.0,255.19223262687865,2.465571930322975,0.7021175745013072,1.7311213834836567,1.7917495140246775,-75.67270533878599,-79.1749514042595,4
