episode,steps,total_reward,eps,yield_kg_ha,n_applied_kg_ha,n_uptake_kg_ha,nue_re,nue_ie,nue_eunep,nue_fert,nsurp,nsurp_fert,n_apps
1,48,85.42751707831854,0.4464,8577.841799194237,90.0,240.90387419164242,2.5764303098093797,0.7246005536383111,1.8668828289061512,1.9395453401295908,-81.0561151843187,-84.55908061360273,2
2,48,83.69754060710395,0.4428288,8418.875979958846,170.0,318.8449470813261,1.8376947141092619,0.5373273992889291,0.9874437214224387,1.0077889775950277,2.1785479089783166,-1.3241261921625096,4
3,48,86.03364555291512,0.4392861696,8612.448697496455,100.0,251.5239658279409,2.4301263048894084,0.696805691721829,1.6933258408566088,1.7526333099230023,-71.7609059063341,-75.26333099405286,4
4,48,90.1873031870408,0.4357718802432,9064.720569034716,120.0,265.29765004800544,2.148114732834503,0.6953211366394764,1.4936295776721216,1.537225529819327,-60.96451225393686,-64.46706357985647,4
5,48,85.23259329410554,0.4322857052012544,8589.34343988924,140.0,286.7897070117657,1.9985004772204302,0.6094819121035108,1.2180498922003336,1.2485224214321253,-31.29069290343824,-34.793139001746056,3
6,48,84.29320800078297,0.4288274195596444,8481.433298140892,100.0,248.42561904964862,2.4001809090825033,0.6947639630596163,1.667559200460905,1.7259716761544117,-69.09429493486921,-72.59716761716714,4
7,48,78.09340254287581,0.4253968002031672,7839.579456451846,130.0,271.4284558112374,2.033133729119785,0.5877624048716354,1.1949995700574836,1.2271957072120607,-26.032932034188264,-29.53544193879509,4
8,48,85.17899843323849,0.42199362580154187,8547.997986782048,130.0,283.23286199728864,2.1215449577053636,0.6141651706787672,1.3029790210563927,1.3380904540744352,-40.448643310333324,-43.95175903101466,4
9,48,82.43684285378083,0.4186176767951295,8249.841504577167,90.0,236.28298172619614,2.5270197025915713,0.7105220756523994,1.7955032843074712,1.8653808290697773,-74.3816472023993,-77.88427461814535,4
10,48,76.67687438062858,0.4152687353807685,7676.953922278402,60.0,201.03266301450608,3.1657365200890393,0.7771175587835468,2.4601494362557523,2.6037668719293623,-92.7233608072138,-96.22601231836549,4
11,48,84.7418442798097,0.41194658549772234,8480.298021154516,90.0,243.0224820510838,2.59910383496824,0.7101156373405357,1.8456642762902968,1.917489608095299,-79.07165102201924,-82.5740647304944,4
12,48,75.4465992235205,0.40865101281374056,7541.9583709556355,60.0,208.23449091610325,3.279171519314221,0.7370481814659902,2.416907405037221,2.5579808807731537,-89.97668783978884,-93.47885284894718,4
13,48,85.879502029009,0.40538180471123064,8594.037124642638,90.0,240.4415905998092,2.5714905160895185,0.7273644091667771,1.8704106799212026,1.9432072831614942,-81.38584492084563,-84.88865548647769,4
14,48,84.292012580009,0.4021387502735408,8463.312657969305,120.0,257.44784355708236,2.0845516953951906,0.6689837064058345,1.3945311193854573,1.4352367715686678,-48.72567378799231,-52.22841258967537,4
15,48,78.8667627267847,0.39892164027135246,7904.900049612992,90.0,239.63296591008202,2.5628474548746007,0.6712962692675376,1.7204299351663028,1.7873857334204108,-67.36209046250833,-70.86471600962437,4
16,48,84.62169912855686,0.39573026714918164,8501.271464118417,160.0,309.6073767908735,1.8935867333328928,0.5587750398179488,1.0580890023202443,1.0812554643358034,-9.497734280704663,-13.00087429480979,4
17,48,87.76917775750391,0.3925644250119882,8806.962320786233,130.0,282.9787095355706,2.119639740535767,0.6333398138733056,1.3424522387541287,1.378628332512471,-45.71847316744288,-49.22168322799985,4
18,48,79.1015232978063,0.38942390961189227,7916.376103171108,50.0,218.42476700690014,4.08245444764105,0.7375457275580171,3.010996835821665,3.221965073926202,-107.59495811982771,-111.09825369953205,4
19,48,83.4824452154975,0.38630851833499713,8378.372215162273,90.0,240.62243963123348,2.5734298458587306,0.7085784469609057,1.8234769235490003,1.8944430508517536,-76.99725199263659,-80.49987457855227,4
20,48,78.85687478902663,0.38321805018831717,7894.913982217331,60.0,209.1254018092135,3.2931593571732125,0.7682543495310388,2.5299839998592577,2.6776916589240836,-97.15852894837576,-100.66149953812268,4
21,48,75.66810551488284,0.38015230578681064,7573.1067981842025,50.0,205.7520373665881,3.8456211642959666,0.7490216151187709,2.8804533756298922,3.0822544667993252,-100.60978361694828,-104.11272334304851,4
22,48,79.73857841580035,0.3771110873405161,7995.064974418483,60.0,219.39076215923834,3.454839939985456,0.7415971877183408,2.562099583521894,2.7116595371117413,-99.1971333416953,-102.69957222941613,4
23,48,78.3622139367621,0.374094198641792,7942.436482768547,180.0,320.65863817009745,1.7474273526892754,0.5040518582196994,0.8807940042297062,0.8979365690191222,21.874690358279167,18.371417575660075,4
24,48,74.91012968785925,0.3711014450526577,7500.314711399201,60.0,203.50430002860398,3.204662980445048,0.7500156230348464,2.4035473019070115,2.5438567395738314,-89.12884536618577,-92.63140437697373,4
25,48,96.45864079040064,0.3681326334922364,9708.727229427512,170.0,317.73680341074663,1.8313079613928516,0.6218121319198293,1.1387295076790294,1.16219175951581,-24.06993866667125,-27.572599118849865,4
26,48,75.16867680140783,0.3651875724242985,7532.168954683179,40.0,195.48325723470094,4.493558461263567,0.784106221654513,3.5234271468630673,3.8319909555992684,-109.77664190198247,-113.2796382278027,4
27,48,83.66930651783703,0.3622660718449041,8395.059070525152,100.0,241.76979636114518,2.335856954260271,0.7066203250189602,1.650564000224018,1.7083945208347844,-67.33576967096384,-70.83945208518685,4
28,48,93.2619974386433,0.3593679432701449,9384.126946252858,200.0,339.610846520966,1.6688272404842488,0.5623112021067147,0.9384002517078924,0.9548349167764542,12.535714994214658,9.033016643754337,4
29,48,74.93605204794547,0.35649299972398374,7508.904396137541,40.0,204.86542530144084,4.70922393472853,0.7458857649396556,3.51254309684427,3.8201551114394703,-109.30319247126275,-112.80620446139895,4
30,48,90.04681872931093,0.35364105572619187,9016.686938321207,110.0,257.97625060066605,2.272863835487566,0.7112653927130591,1.61660938853764,1.6680870835742587,-69.9868490398411,-73.48957919483655,4
31,48,79.6371519587915,0.35081192728038235,7978.925834323396,120.0,259.55365741799005,2.1015919770567564,0.6255783191156117,1.314710376479086,1.3530928393927333,-38.86778696169098,-42.371140728481095,4
