action,pred,eps,fit,exp,num,dontcare_count,len_lower,len_upper,len_mask,score,lower[0]_DVS,lower[1]_TAGP,lower[2]_LAI,lower[3]_TRA,lower[4]_RFTRA,lower[5]_WSO,lower[6]_NamountSO,lower[7]_NuptakeTotal,lower[8]_NLOSSCUM,lower[9]_RNO3DEPOSTT,lower[10]_RNH4DEPOSTT,lower[11]_Week,lower[12]_Naction,lower[13]_IRRAD,lower[14]_TMIN,lower[15]_RAIN,lower[16]_NO3_sum,lower[17]_NH4_sum,lower[18]_WC_mean,lower[19]_SM_mean,upper[0]_DVS,upper[1]_TAGP,upper[2]_LAI,upper[3]_TRA,upper[4]_RFTRA,upper[5]_WSO,upper[6]_NamountSO,upper[7]_NuptakeTotal,upper[8]_NLOSSCUM,upper[9]_RNO3DEPOSTT,upper[10]_RNH4DEPOSTT,upper[11]_Week,upper[12]_Naction,upper[13]_IRRAD,upper[14]_TMIN,upper[15]_RAIN,upper[16]_NO3_sum,upper[17]_NH4_sum,upper[18]_WC_mean,upper[19]_SM_mean,mask[0]_DVS,mask[1]_TAGP,mask[2]_LAI,mask[3]_TRA,mask[4]_RFTRA,mask[5]_WSO,mask[6]_NamountSO,mask[7]_NuptakeTotal,mask[8]_NLOSSCUM,mask[9]_RNO3DEPOSTT,mask[10]_RNH4DEPOSTT,mask[11]_Week,mask[12]_Naction,mask[13]_IRRAD,mask[14]_TMIN,mask[15]_RAIN,mask[16]_NO3_sum,mask[17]_NH4_sum,mask[18]_WC_mean,mask[19]_SM_mean
4,8.98,1.02,0.109,1,1,9,20,20,20,0.109,-1.0,-1.0,0.10062144490169178,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-1.0,-0.2,-1.0,-0.2,-1.0,11.15,0.35999999999999993,-1.0,-1.0,-1.0,-1.0,1.0,296.5,0.5006214449016918,0.2,0.2,0.2,0.2,0.2,0.2,1.0,0.2,1.0,0.2,3500000.0,13.85,0.76,1.0,1.0,5.452052729410352,1.0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1
2,8.98,1.02,0.109,1,1,8,20,20,20,0.109,-0.2325416666666667,-1.0,0.10062144490169178,-0.2,-0.2,-0.2,-0.2,-1.0,-1.0,-0.19994245229562652,-0.19996677148071634,-1.0,-1.0,4949999.9,1.15,-1.0,-0.1927189704833087,-1.0,4.963148936989219,-1.0,0.16745833333333332,296.5,0.5006214449016918,0.2,0.2,0.2,0.2,1.0,1.0,0.2000575477043735,0.20003322851928368,2.0,1.0,6050000.1,3.85,1.0,0.20728102951669133,1.0,6.288293145209046,1.0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1
1,9.884771016327,0.11522898367299989,0.109,1,1,6,20,20,20,0.109,-1.0,440.10187961978784,0.295912029603677,-0.1841193205147122,-1.0,-0.2,-1.0,11.114454840508348,-0.08236905182929755,-1.0,-0.19984741616719737,6.2,3.5,-1.0,1.95,-0.18000000000000002,-0.18236294531279318,-1.0,5.561765508350434,0.15222755326394366,1.0,538.1245195352963,0.695912029603677,0.21588067948528783,1.0000000000000002,0.2,1.0,13.806555916176869,0.3176309481707025,1.0,0.20015258383280266,7.8,4.5,5500000.0,5.05,0.22,0.21763705468720684,1.0,7.019935621317198,0.5522275532639437,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
0,9.0,1.0,0.109,1,1,7,20,20,20,0.109,-0.18849550013432667,463.1914157564023,0.3235255218694079,-1.0,-1.0,-0.2,-0.2,-1.0,1.2258231603041712,-1.0,-0.19982316316749033,-1.0,3.5,4549999.9,-3.0,-0.2,-1.0,-0.19708192689557225,5.333490789738073,0.1392331845847563,0.21150449986567335,569.5048197702464,0.7235255218694079,1.0,1.0000000000000002,0.2,0.2,15.121767216092673,1.8920959045510386,1.0,0.2001768368325097,9.0,4.5,5650000.1,12.5,0.2,1.0,0.20291807310442778,6.7916609027048365,0.5392331845847563,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
0,9.758823064044435,1.5347037433523951,0.16662333333333335,3,1,10,20,20,20,0.16662333333333335,-0.18559894735994775,-1.0,-1.0,-1.0,0.8,-0.2,-1.0,-1.0,1.9070039180521492,-1.0,-1.0,-1.0,3.5,449999.9,0.1499999999999999,-0.020000000000000018,-1.0,-1.0,5.46619198880715,0.14683974356532575,0.21440105264005227,553.9035086431618,1.0,1.0,1.2,0.2,1.0,16.611753038822016,2.755723524416525,1.0,1.0,10.0,4.5,1550000.1,3.25,0.38,1.0,1.0,6.924362101773914,0.5468397435653258,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0
5,11.202670621942406,1.8652625036401675,0.47267192220881005,12,1,10,20,20,20,0.47267192220881005,-0.18099074610051,498.41315777884563,0.3616029447029478,-1.0,-1.0,-0.2,-1.0,14.850577734939815,-1.0,-0.19955880093313652,-1.0,-1.0,-1.0,2549999.9,-3.0,-0.2,-0.18157759461958956,-1.0,5.553239343438707,-1.0,0.21900925389949003,609.3938595074779,0.7616029447029478,1.0,1.0000000000000002,0.2,1.0,18.372928342704217,3.24359803182188,0.2004411990668635,1.0,10.0,4.0,3650000.1,12.5,0.2,0.21842240538041047,1.0,7.011409456405471,1.0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1
2,10.478077910077399,1.8488310051987131,0.243778688047619,7,1,7,20,20,20,0.243778688047619,-1.0,517.1619021744435,0.38272445352924395,-1.0,-1.0,-0.2,-0.2,16.04474857859802,-1.0,-0.19954821744727472,-1.0,-1.0,3.5,1149999.9,-0.44999999999999996,-0.09,-0.18166002124991504,-0.1977636191402374,5.217461094907848,-1.0,1.0,632.3089915465422,0.7827244535292439,1.0,1.0000000000000002,0.2,0.2,19.832470484953138,5.858748622501953,0.2004517825527253,1.0,11.0,4.5,2250000.1,2.6500000000000004,0.31000000000000005,0.21833997875008498,0.20223638085976262,6.675631207874612,1.0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
0,9.409505106961786,1.2259941069617866,0.290461,4,1,7,20,20,20,0.290461,-1.0,543.1065610912535,0.4133052976044634,-0.19232656346612761,-1.0,-0.2,-0.2,-1.0,7.106543517500111,-0.19948934680716848,-1.0,11.5,3.5,349999.9,-3.0,-1.0,-0.18152266034701295,-1.0,5.172716594777977,0.1346522337005519,1.0,666.6875093163965,0.8133052976044635,0.2076734365338724,1.0000000000000002,0.2,0.2,20.615919703074002,9.042986868174104,0.20051065319283154,1.0,14.5,4.5,1450000.1,12.5,1.0,0.21847733965298707,1.0,6.630886707744741,0.5346522337005519,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0
4,9.245490888720875,1.0629916759553966,0.20329,3,1,12,20,20,20,0.20329,-1.0,-1.0,-1.0,-0.17952514890322963,-1.0,-1.0,-0.2,-1.0,8.88925058074503,-0.19941691607580184,-0.19966332253162575,-1.0,-1.0,-1.0,-12.14,-0.2,-1.0,-1.0,5.268013346051194,-1.0,1.0,621.7277124210834,1.0,0.2204748510967704,1.0000000000000002,1.0,0.2,20.921258002757103,11.08686182091059,0.20058308392419819,0.20033667746837427,15.0,4.0,5500000.0,-7.66,0.2,1.0,1.0,6.726183459017958,1.0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1
5,9.0,1.0,0.109,1,1,8,20,20,20,0.109,-0.17140748317854626,559.4549411789751,-1.0,-0.19525651058159302,-1.0,-0.2,-1.0,18.72913220248139,-1.0,-0.19941691607580184,-0.19966332253162575,-1.0,3.5,1049999.9,-6.4399999999999995,-0.2,-1.0,-0.1982510887169729,-1.0,-1.0,0.22859251682145376,684.0004836631917,1.0,0.204743489418407,1.0000000000000002,0.2,1.0,23.113383803032814,12.002198402484307,0.20058308392419819,0.20033667746837427,16.0,4.5,2150000.1,-1.9600000000000004,0.2,1.0,0.20174891128302713,6.290850564833816,1.0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1
