action,pred,fit,eps,exp,num,as_size,lower[0],upper[0],mask[0],lower[1],upper[1],mask[1],lower[2],upper[2],mask[2],lower[3],upper[3],mask[3],lower[4],upper[4],mask[4],lower[5],upper[5],mask[5],lower[6],upper[6],mask[6],lower[7],upper[7],mask[7],lower[8],upper[8],mask[8],lower[9],upper[9],mask[9],lower[10],upper[10],mask[10],lower[11],upper[11],mask[11],lower[12],upper[12],mask[12]
2,-12.663313812850593,0.7517378415773881,3.388088441223096,22,1,1.8704,0.1519041214766908,0.6559041214766907,0,0.2557421012778225,0.4957421012778225,0,0.8800000000000002,1.1,0,-0.1,0.12,0,-50.0,150.0,1,29.200000000000003,50.8,0,0.0,43.8,0,16.800000000000004,103.19999999999999,0,0.0,210.0,1,5.514285714285715,15.114285714285714,0,-20.0,24.02,0,0.0,300.0,1,0.20966608444076051,0.4496660844407605,0
6,-13.444726568295035,0.9999757695141647,4.883952855453639,58,1,1.0001805514536102,0.36177626708017474,0.8657762670801747,0,0.4095866125949058,0.6495866125949058,0,0.0,1.0,1,-0.1,0.12,0,-50.0,150.0,1,0.0,90.0,1,0.0,50.8,0,36.800000000000004,123.19999999999999,0,0.0,210.0,1,-10.0,30.0,1,-20.0,24.06,0,0.0,300.0,1,0.1788299761730841,0.4188299761730841,0
5,-6.136027367339502,0.6436000000000001,4.8800724823424,2,1,1.0,0.46290493525173226,0.9669049352517323,0,0.4005581968987676,0.6405581968987676,0,0.0,1.0,1,0.0,1.0,1,-50.0,-46.13547761694886,0,49.2,70.8,0,0.0,43.8,0,96.80000000000001,183.2,0,210.0,107599974.8,0,7.792857142857142,17.392857142857142,0,-20.0,24.0,0,-30.0,36.00013706714587,0,0.1641382853818354,0.4041382853818354,0
6,-13.076222476201071,0.3908978732038754,2.796264733349962,50,1,2.027166146958518,0.5638643031975562,1.067864303197556,0,0.0,1.0,1,0.8800000000000002,1.1,0,-0.1,0.12,0,-50.0,150.0,1,0.0,10.799999999999999,0,0.0,50.8,0,96.80000000000001,183.2,0,210.0,113299974.8,0,9.685714285714283,19.285714285714285,0,-20.0,24.0,0,-30.0,36.00467206664369,0,0.14799947450784962,0.3879994745078496,0
0,-14.325617873682015,0.6813450705393487,2.693049339569948,98,1,1.5715129858508905,0.7728837209302326,1.2768837209302326,0,0.37893452500916486,0.6189345250091649,0,0.0,1.0,1,0.0,1.0,1,-50.0,150.0,1,0.0,10.799999999999999,0,0.0,64.8,0,96.80000000000001,183.2,0,210.0,119999974.8,0,7.735714285714287,17.335714285714285,0,-20.0,24.21,0,-30.0,36.00233564910106,0,0.12556468428256534,0.36556468428256533,0
0,-14.606406327595433,0.841931378991,2.3827638622337064,114,1,1.5673753805802575,0.9934651162790704,1.4974651162790704,0,0.0,1.0,1,0.0,1.0,1,0.0,1.0,1,-50.0,150.0,1,0.0,10.799999999999999,0,0.0,78.8,0,96.80000000000001,183.2,0,210.0,120699974.8,0,-10.0,30.0,1,0.0,200.0,1,-30.0,36.00013289097015,0,0.0,1.0,1
3,-13.859985713294218,0.4917698816,3.9861800303930144,8,1,1.98320384,0.04461968143741113,0.5486196814374111,0,0.0,1.0,1,0.88,1.1,0,0.0,1.0,1,-50.0,150.0,1,9.200000000000001,30.799999999999997,0,0.0,43.8,0,-23.199999999999996,63.199999999999996,0,210.0,84699974.8,0,4.485714285714287,14.085714285714285,0,-20.0,24.0,0,-30.0,36.001445572208006,0,0.1930150481982863,0.4330150481982863,0
3,-13.859985713294218,0.4917698816,3.9861800303930144,8,1,1.98320384,0.04461968143741113,0.5486196814374111,0,0.12053018964017456,0.3605301896401746,0,0.88,1.1,0,-0.1,0.12,0,-50.0,150.0,1,9.200000000000001,30.799999999999997,0,0.0,43.8,0,-23.199999999999996,63.199999999999996,0,210.0,84699974.8,0,4.485714285714287,14.085714285714285,0,-20.0,24.0,0,0.0,300.0,1,0.0,1.0,1
0,-11.088025405579025,0.6199105202198802,4.619288654421719,14,1,1.7212187648000001,0.30481900380867155,0.8088190038086716,0,0.0,1.0,1,0.8800000000000002,1.1,0,-0.1,0.12,0,-50.0,-46.04805516782986,0,0.0,90.0,1,0.0,43.8,0,56.800000000000004,143.2,0,0.0,210.0,1,5.5928571428571425,15.192857142857143,0,-20.0,25.95,0,-30.0,36.00337272687533,0,0.19465152411766207,0.43465152411766206,0
1,-13.596896798403328,0.37728984554674666,3.0715245505780784,22,1,3.15029387362304,0.714412683266911,1.2184126832669109,0,0.323082866468084,0.563082866468084,0,0.0,1.0,1,-0.1,0.12,0,-50.0,150.0,1,0.0,10.799999999999999,0,0.0,71.8,0,56.800000000000004,143.2,0,210.0,132299974.8,0,11.299999999999997,20.9,0,-20.0,26.01,0,-30.0,36.000786497728825,0,0.19549774230606892,0.4354977423060689,0
