action,pred,fit,eps,exp,num,as_size,lower[0],upper[0],mask[0],lower[1],upper[1],mask[1],lower[2],upper[2],mask[2],lower[3],upper[3],mask[3],lower[4],upper[4],mask[4],lower[5],upper[5],mask[5],lower[6],upper[6],mask[6],lower[7],upper[7],mask[7],lower[8],upper[8],mask[8],lower[9],upper[9],mask[9],lower[10],upper[10],mask[10],lower[11],upper[11],mask[11],lower[12],upper[12],mask[12],cared_dims,score
2,-3.0207621306476398,0.99784498548736,0.9779302917915016,12,1,1.0,0.1692739322561835,0.5052739322561837,0,0.2158927498444654,0.3758927498444654,0,0.92,1.08,0,-0.08,0.08,0,-47.21803492311901,-15.218034923119006,0,0.0,90.0,1,-6.7200000000000015,6.7200000000000015,0,61.2,118.8,0,0.0,210.0,1,4.128571428571428,10.52857142857143,0,0.0,200.0,1,0.0,300.0,1,0.2485601230485644,0.4085601230485645,0,9,0.99784498548736
3,-3.557782371892825,0.95381056,1.4993777724424755,6,1,1.0,0.2185177330540005,0.5545177330540005,0,0.0,1.0,1,0.0,1.0,1,-0.08,0.08,0,-50.0,150.0,1,0.0,90.0,1,-6.7200000000000015,6.7200000000000015,0,-18.800000000000004,38.8,0,0.0,210.0,1,-10.0,30.0,1,-15.530000000000005,16.470000000000002,0,-23.999888217600898,24.00011178239911,0,0.2326499261812747,0.3926499261812748,0,7,0.95381056
1,-3.1985075135184884,0.871696,1.6621025695494878,4,1,1.0,0.6139096572166074,0.9499096572166076,0,0.0,1.0,1,0.92,1.08,0,-0.08,0.08,0,-50.0,150.0,1,-7.200000000000001,7.200000000000001,0,0.2799999999999985,13.720000000000002,0,41.2,98.8,0,0.0,210.0,1,10.0,16.400000000000002,0,-16.000000000000004,16.000000000000004,0,-23.995260930108927,24.00473906989108,0,0.2050860474727713,0.3650860474727713,0,10,0.871696
0,-3.03770945746024,0.871696,1.4473229312660512,4,1,1.0,0.4893427638219836,0.8253427638219837,0,0.440073328292591,0.600073328292591,0,0.0,1.0,1,0.0,1.0,1,-50.0,150.0,1,12.8,27.200000000000003,0,-6.7200000000000015,6.7200000000000015,0,71.19999999999999,128.8,0,0.0,210.0,1,7.62857142857143,14.028571428571432,0,0.0,200.0,1,-23.9939641997224,24.00603580027761,0,0.2505879910046095,0.4105879910046095,0,8,0.871696
4,-2.652832327747824,0.871696,1.6059987246099168,4,1,1.0,1.1321744186046514,1.4681744186046513,0,0.0,1.0,1,0.9200000000000002,1.0800000000000003,0,0.0,1.0,1,-50.0,150.0,1,0.0,90.0,1,14.279999999999998,27.72,0,81.19999999999999,138.8,0,0.0,210.0,1,-10.0,30.0,1,-13.570000000000004,18.430000000000003,0,-23.999856515113105,24.000143484886905,0,0.0,1.0,1,6,0.871696
0,-2.909093121152704,0.871696,1.9534442877869096,4,1,1.0,0.5856049990507631,0.9216049990507632,0,0.0,1.0,1,0.0,1.0,1,0.0,1.0,1,-50.0,150.0,1,0.0,90.0,1,0.2799999999999985,13.720000000000002,0,51.2,108.8,0,0.0,210.0,1,-10.0,30.0,1,0.0,200.0,1,-23.999162740011656,24.00083725998835,0,0.0,1.0,1,4,0.871696
5,-2.264357531282447,0.871696,2.249935823490392,4,1,1.0,1.273279069767442,1.609279069767442,0,0.0,1.0,1,0.9200000000000002,1.0800000000000003,0,0.0,1.0,1,-50.0,150.0,1,-7.200000000000001,7.200000000000001,0,21.28,34.72,0,81.19999999999999,138.8,0,0.0,210.0,1,12.657142857142857,19.057142857142857,0,0.0,200.0,1,-23.99985391563239,24.000146084367618,0,0.196114569804445,0.356114569804445,0,8,0.871696
1,-2.720837917777826,0.871696,1.8251276383333697,4,1,1.0,0.7177471289999031,1.0537471289999032,0,0.0,1.0,1,0.9200000000000002,1.0800000000000003,0,0.0,1.0,1,-50.0,150.0,1,2.799999999999999,17.200000000000003,0,-6.7200000000000015,6.7200000000000015,0,51.2,108.8,0,0.0,210.0,1,11.264285714285712,17.664285714285715,0,-16.000000000000004,16.000000000000004,0,0.0,300.0,1,0.1917226467549935,0.3517226467549935,0,8,0.871696
8,-2.362812313547257,0.871696,2.292961484652825,4,1,1.0,1.832,2.168,0,-0.08,0.08,0,0.0,1.0,1,0.0,1.0,1,-50.0,150.0,1,0.0,90.0,1,63.28,76.72,0,81.19999999999999,138.8,0,0.0,210.0,1,-10.0,30.0,1,-15.990000000000004,16.010000000000005,0,-23.99921878503789,24.00078121496212,0,0.1910170483382601,0.3510170483382602,0,7,0.871696
0,-2.105714648790043,0.871696,1.4231504556074717,4,1,1.0,0.3403644723164396,0.6763644723164397,0,0.344441094216698,0.5044410942166981,0,0.9200000000000002,1.0800000000000003,0,-0.08,0.08,0,-47.31752062743089,-15.31752062743088,0,0.0,90.0,1,-6.7200000000000015,6.7200000000000015,0,101.2,158.8,0,0.0,210.0,1,7.514285714285712,13.914285714285716,0,-13.570000000000004,18.430000000000003,0,-23.992645202385333,24.007354797614678,0,0.0,1.0,1,10,0.871696
5,-1.7668740442890545,0.871696,1.7657668628937055,4,1,1.0,0.8638023255813952,1.1998023255813952,0,0.0,1.0,1,0.92,1.08,0,0.0,1.0,1,-50.0,150.0,1,0.0,90.0,1,14.279999999999998,27.72,0,131.2,188.8,0,0.0,210.0,1,-10.0,30.0,1,0.0,200.0,1,-23.99484937515355,24.005150624846458,0,0.0,1.0,1,5,0.871696
8,-1.7643777113940418,0.871696,1.7696682177187273,4,1,1.0,1.4928139534883718,1.828813953488372,0,0.2307845379253089,0.390784537925309,0,0.9200000000000002,1.0800000000000003,0,0.0,1.0,1,-50.0,150.0,1,0.0,90.0,1,49.28,62.72,0,131.2,188.8,0,0.0,210.0,1,11.242857142857144,17.642857142857146,0,0.0,200.0,1,-23.999875354821206,24.0001246451788,0,0.2100436782464166,0.3700436782464167,0,8,0.871696
7,-1.7690521121778375,0.871696,1.7676583883192558,4,1,1.0,1.7551395348837202,2.0911395348837205,0,0.0,1.0,1,0.92,1.08,0,0.0,1.0,1,-50.0,150.0,1,0.0,90.0,1,63.28,76.72,0,131.2,188.8,0,0.0,210.0,1,-10.0,30.0,1,-14.230000000000004,17.770000000000003,0,0.0,300.0,1,0.0,1.0,1,5,0.871696
0,-1.9380339953292407,0.871696,1.9369875953292413,4,1,1.0,0.3191443803249517,0.6551443803249517,0,0.0,1.0,1,0.92,1.08,0,-0.08,0.08,0,-70.0,-38.58331686674282,0,0.0,90.0,1,0.2799999999999985,13.720000000000002,0,91.2,148.8,0,0.0,210.0,1,-10.0,30.0,1,-15.910000000000004,16.090000000000003,0,-23.992226718433347,24.00777328156666,0,0.0,1.0,1,8,0.871696
2,-0.8037906139699244,0.6436000000000001,0.8003702232722499,2,1,1.0,1.116593023255814,1.452593023255814,0,0.0,1.0,1,0.0,1.0,1,0.0717824431287135,0.2317824431287135,0,-50.0,150.0,1,0.0,90.0,1,42.28,55.72,0,121.2,178.8,0,0.0,210.0,1,10.77142857142857,17.17142857142857,0,-15.040000000000004,16.960000000000004,0,0.0,300.0,1,0.2632000263548597,0.4232000263548597,0,7,0.6436000000000001
6,-0.8036260814117847,0.6436000000000001,0.8003153790862033,2,1,1.0,1.251302325581395,1.5873023255813954,0,0.3201664539736706,0.4801664539736707,0,0.92,1.08,0,0.0,1.0,1,-50.0,150.0,1,0.0,90.0,1,49.28,62.72,0,121.2,178.8,0,0.0,210.0,1,11.864285714285712,18.264285714285712,0,-14.650000000000004,17.350000000000005,0,0.0,300.0,1,0.0,1.0,1,7,0.6436000000000001
0,-1.8362017463182765,0.6436000000000001,1.833339857946183,2,1,1.0,1.0039767441860463,1.3399767441860462,0,0.4450727704789723,0.6050727704789725,0,0.9200000000000002,1.0800000000000003,0,0.0024086035600207,0.1624086035600208,0,-50.0,150.0,1,0.0,90.0,1,28.28,41.72,0,51.2,108.8,0,0.0,210.0,1,-10.0,30.0,1,-15.550000000000004,16.450000000000003,0,-23.999873635960167,24.00012636403984,0,0.1929533928279675,0.3529533928279676,0,9,0.6436000000000001
0,-1.836696620736881,0.6436000000000001,1.833504816085718,2,1,1.0,1.142348837209302,1.4783488372093023,0,0.0,1.0,1,0.9200000000000002,1.0800000000000003,0,0.1031895653297882,0.2631895653297883,0,-50.0,150.0,1,0.0,90.0,1,35.28,48.72,0,51.2,108.8,0,0.0,210.0,1,-10.0,30.0,1,-16.000000000000004,16.000000000000004,0,0.0,300.0,1,0.0,1.0,1,6,0.6436000000000001
5,-2.0664872531752536,0.6436000000000001,1.949589350849672,2,1,1.0,1.1315930232558131,1.4675930232558132,0,0.0,1.0,1,0.0,1.0,1,0.0,1.0,1,-50.0,150.0,1,0.0,90.0,1,7.2799999999999985,20.72,0,121.2,178.8,0,0.0,210.0,1,-10.0,30.0,1,0.0,200.0,1,0.0,300.0,1,0.2225744481598061,0.3825744481598062,0,4,0.6436000000000001
8,-1.893469578831797,0.6436000000000001,1.8919167927351868,2,1,1.0,1.253918604651162,1.589918604651162,0,0.0,1.0,1,0.0,1.0,1,0.1751239689005578,0.3351239689005579,0,-50.0,150.0,1,52.8,67.2,0,-6.7200000000000015,6.7200000000000015,0,181.2,238.8,0,0.0,210.0,1,-10.0,30.0,1,0.0,200.0,1,0.0,300.0,1,0.0,1.0,1,5,0.6436000000000001
