emitted_at,sim_day,week,Naction,DVS,TAGP,LAI,TRA,RFTRA,WSO,NamountSO,NuptakeTotal,NO3,NH4,WC,SM,NLOSSCUM,RNO3DEPOSTT,RNH4DEPOSTT,IRRAD,TMIN,RAIN
2025-09-01T11:44:26Z,2020-04-10,0,0.0,,,,,,,,,"[0.00299087 0.         0.         0.         0.         0.
 0.        ]","[4.68255966e-04 6.10966663e-06 3.61801818e-06 4.13819512e-06
 1.59888095e-06 3.38192771e-07 3.98496824e-07]","[6.61487295 3.29917496 3.57079804 7.51938348 7.3172843  7.07561307
 8.75037933]","[0.33074365 0.3299175  0.3570798  0.37596917 0.36586422 0.35378065
 0.35001517]",3.666472108393625e-05,0.0,0.0,21160000.0,5.3,0.0
2025-09-01T11:44:26Z,2020-04-11,0,0.0,,,,,,,,,"[np.float64(0.002974248274793392) np.float64(4.333519744509905e-07)
 np.float64(2.6259215584119256e-07) np.float64(3.0202938907812155e-07)
 np.float64(1.2330331097941884e-07) np.float64(2.8313446583071157e-08)
 np.float64(2.7693167204019908e-08)]","[np.float64(0.00045159256639736673) np.float64(1.10213477508635e-05)
 np.float64(6.392978076213344e-06) np.float64(7.208006387592738e-06)
 np.float64(2.865414443222953e-06) np.float64(6.230736883763634e-07)
 np.float64(7.05275372962648e-07)]","[6.53553881 3.26842692 3.44       7.2429923  7.33589415 7.18895553
 8.76803149]","[0.32677694 0.32684269 0.344      0.36214962 0.36679471 0.35944778
 0.35072126]",0.00010961426392562042,0.0,0.0,21770000.0,2.9,0.0
2025-09-01T11:44:26Z,2020-04-12,0,0.0,,,,,,,,,"[np.float64(0.0029686001049942326) np.float64(1.226482887497831e-06)
 np.float64(7.46133968972954e-07) np.float64(8.233849454765544e-07)
 np.float64(3.4293450623831944e-07) np.float64(8.888833051031919e-08)
 np.float64(7.868480758973332e-08)]","[np.float64(0.0004363211951576047) np.float64(1.5601018097409468e-05)
 np.float64(9.071185357051358e-06) np.float64(9.994287526540044e-06)
 np.float64(4.016485343731408e-06) np.float64(9.205588132314127e-07)
 np.float64(9.947908981483777e-07)]","[6.48822913 3.23131964 3.43979004 6.95954655 7.1570519  7.34227045
 8.81222402]","[0.32441146 0.32313196 0.343979   0.34797733 0.35785259 0.36711352
 0.35248896]",0.00022738592841533618,0.0,0.0,18000000.0,4.4,0.8
2025-09-01T11:44:26Z,2020-04-13,0,0.0,,,,,,,,,"[np.float64(0.0030442427031909776) np.float64(2.747907210390076e-06)
 np.float64(1.6822074954441078e-06) np.float64(1.8021286379999182e-06)
 np.float64(7.457108188572115e-07) np.float64(2.0761851220915706e-07)
 np.float64(1.7771955486697163e-07)]","[np.float64(0.0004231804666687964) np.float64(2.0181282935446135e-05)
 np.float64(1.1724524571853539e-05) np.float64(1.280391678544677e-05)
 np.float64(5.095303704066207e-06) np.float64(1.239343305051881e-06)
 np.float64(1.2869361356734905e-06)]","[7.24727745 3.20392696 3.43979005 6.78164337 6.86300069 7.45092962
 8.89101807]","[0.36236387 0.3203927  0.34397901 0.33908217 0.34315003 0.37254648
 0.35564072]",0.0004143808503091404,3.2e-05,8e-06,18210000.0,3.7,0.0
2025-09-01T11:44:26Z,2020-04-14,0,0.0,,,,,,,,,"[np.float64(0.002840659398599142) np.float64(8.379233220468984e-05)
 np.float64(1.9532625229882526e-06) np.float64(2.0532548555164272e-06)
 np.float64(8.523533017146812e-07) np.float64(2.595964290370956e-07)
 np.float64(2.1099938427418238e-07)]","[np.float64(0.00041541078439844627) np.float64(2.7031945681964126e-05)
 np.float64(1.34728507020012e-05) np.float64(1.4647528926053027e-05)
 np.float64(5.8068979378479036e-06) np.float64(1.4610172174281677e-06)
 np.float64(1.4839951042420722e-06)]","[6.74       3.39537451 3.43979005 6.65804959 6.62638781 7.379598
 8.99465788]","[0.337      0.33953745 0.34397901 0.33290248 0.33131939 0.3689799
 0.35978632]",0.0010695593032925923,3.2e-05,8e-06,11530000.0,1.9,0.0
2025-09-01T11:44:26Z,2020-04-15,0,0.0,,,,,,,,,"[np.float64(0.0028326347780281533) np.float64(8.238126719555217e-05)
 np.float64(4.0533125130304066e-06) np.float64(2.261549047916173e-06)
 np.float64(9.423624767275042e-07) np.float64(2.9696967670855797e-07)
 np.float64(2.4132062745463354e-07)]","[np.float64(0.00041830631861117343) np.float64(2.930356366920831e-05)
 np.float64(1.516477907795024e-05) np.float64(1.6212530028524576e-05)
 np.float64(6.418981578694588e-06) np.float64(1.628736037151791e-06)
 np.float64(1.6531778461092495e-06)]","[6.70428742 3.32       3.51537451 6.56417116 6.470664   7.16063017
 9.06646134]","[0.33521437 0.332      0.35153745 0.32820856 0.3235332  0.35803151
 0.36265845]",0.0014037114014408857,3.2e-05,8e-06,21830000.0,-0.9,0.0
2025-09-01T11:44:26Z,2020-04-16,1,0.0,,,,,,,,,"[np.float64(0.0028267842569105) np.float64(8.29646338961847e-05)
 np.float64(4.468379633195633e-06) np.float64(2.7982184842250963e-06)
 np.float64(1.1327624667455277e-06) np.float64(3.5635655256896583e-07)
 np.float64(2.9303816031576756e-07)]","[np.float64(0.0004188702372717618) np.float64(3.23976586861058e-05)
 np.float64(1.693338099745783e-05) np.float64(1.8331769423302637e-05)
 np.float64(7.209618068751905e-06) np.float64(1.8098313791097524e-06)
 np.float64(1.8607316641088252e-06)]","[6.67174831 3.30675233 3.45658583 6.54626216 6.3677448  6.93083439
 9.02328808]","[0.33358742 0.33067523 0.34565858 0.32731311 0.31838724 0.34654172
 0.36093152]",0.0018446760730171342,3.2e-05,8e-06,21190000.0,2.7,0.0
2025-09-01T11:44:26Z,2020-04-17,1,0.0,,,,,,,,,"[np.float64(0.0028394617630220025) np.float64(8.51545318013704e-05)
 np.float64(5.830778738155772e-06) np.float64(4.225595459581907e-06)
 np.float64(1.6641656167994495e-06) np.float64(5.108558189426366e-07)
 np.float64(4.312700222657153e-07)]","[np.float64(0.0004043534168026947) np.float64(3.5362652975238324e-05)
 np.float64(1.87711990419665e-05) np.float64(2.0470128279791017e-05)
 np.float64(8.007940050630415e-06) np.float64(1.9731740993341543e-06)
 np.float64(2.067726360366289e-06)]","[6.63673362 3.29147368 3.44       6.52       6.27299781 6.7665452
 8.90694743]","[0.33183668 0.32914737 0.344      0.326      0.31364989 0.33832726
 0.3562779 ]",0.002350542009528958,3.2e-05,8e-06,21740000.0,6.2,0.0
2025-09-01T11:44:26Z,2020-04-18,1,0.0,,,,,,,,,"[np.float64(0.002843871132310677) np.float64(8.727649163360546e-05)
 np.float64(7.236175306959566e-06) np.float64(5.679566518654004e-06)
 np.float64(2.1679329796722756e-06) np.float64(6.666478616081737e-07)
 np.float64(5.748116048081664e-07)]","[np.float64(0.00039306777846544584) np.float64(3.813679190581479e-05)
 np.float64(2.0510894754875313e-05) np.float64(2.247123500274502e-05)
 np.float64(8.722409343396994e-06) np.float64(2.1268403970357503e-06)
 np.float64(2.254536769837672e-06)]","[6.59395524 3.27454054 3.43979004 6.52       6.16286632 6.64990201
 8.79628386]","[0.32969776 0.32745405 0.343979   0.326      0.30814332 0.3324951
 0.35185135]",0.0028396297496450893,3.2e-05,8e-06,11460000.0,6.7,0.04
2025-09-01T11:44:26Z,2020-04-19,1,0.0,,,,,,,,,"[np.float64(0.002869302208352691) np.float64(8.894978825932461e-05)
 np.float64(8.473543403409525e-06) np.float64(6.965555068220315e-06)
 np.float64(2.599119928769609e-06) np.float64(8.028103646030052e-07)
 np.float64(7.021599422236078e-07)]","[np.float64(0.0003883960986416879) np.float64(4.081816327258323e-05)
 np.float64(2.217371462811583e-05) np.float64(2.4370903854244527e-05)
 np.float64(9.414037244314558e-06) np.float64(2.2764219510479175e-06)
 np.float64(2.4308522497026496e-06)]","[6.62310016 3.25430142 3.43971169 6.5198684  6.07353903 6.55736913
 8.70105071]","[0.33115501 0.32543014 0.34397117 0.32599342 0.30367695 0.32786846
 0.34804203]",0.0033021043780825524,3.36e-05,8.4e-06,21030000.0,8.2,0.0
