episode,steps,total_reward,eps,yield_kg_ha,n_applied_kg_ha,n_uptake_kg_ha,nue_re,nue_ie,nue_eunep,nue_fert,nsurp,nsurp_fert,n_apps
1,48,151.9547046722218,0.4464,8578.620832951054,190.0,320.6199391383353,1.6569260773443049,0.5444918192523485,0.9021826942226718,0.9188154418401849,18.927928682016272,15.425066049446059,4
2,48,151.53840750088568,0.4428288,8578.263197054312,210.0,349.65348086771337,1.637699183654064,0.49925902532513694,0.8176360982092388,0.8312745526629713,38.93521696814187,35.43234393994476,4
3,48,158.44888439963862,0.4392861696,8913.534672738404,170.0,303.72941210500085,1.750570013147869,0.5972106202441853,1.0454590033363524,1.0670025328774089,-7.887280289436717,-11.390430590226515,4
4,48,161.20841536860223,0.4357718802432,9099.268749303805,200.0,341.2979505835027,1.6771143975677822,0.5425468237685352,0.9099130894995466,0.925850595237033,18.33296403102665,14.829880951667576,4
5,48,154.5282820357099,0.4322857052012544,8686.446966241532,160.0,303.5842161624776,1.8567491511319951,0.5822739996068387,1.0811367544997905,1.10480747351194,-13.266109750811438,-16.769195763015176,4
6,48,153.91478962320355,0.4288274195596444,8663.956053459764,170.0,318.91205893336604,1.8380791799455514,0.5528530538388707,1.0161876878337317,1.0371265040404063,-2.8086107032761163,-6.311505687906191,4
7,48,160.7419656342606,0.4253968002031672,9062.314396117166,190.0,336.2011032364303,1.737449671883306,0.5485350767297914,0.9530520890834948,0.9706215682105985,9.084544835148108,5.5819020390156595,4
8,48,156.85365476420006,0.42199362580154187,8769.332017625367,120.0,264.1047865281312,2.138439607086396,0.6757011446250036,1.4449460902251918,1.4871325546432423,-54.95240164284971,-58.45590655867622,4
9,48,169.5522996236065,0.4186176767951295,9547.27801087722,190.0,327.25454571475325,1.6912130913923449,0.5936880329543393,1.0040529735384165,1.0225637237912046,-0.7842619138594955,-4.28710752135143,4
10,48,150.64096432020048,0.4152687353807685,8416.076640072686,110.0,255.9058023926951,2.2546118899486127,0.6692586022805194,1.508918402157945,1.5569741783992925,-57.763898362950684,-61.26715962547917,4
11,48,150.3782260782361,0.41194658549772234,8491.84378698938,190.0,337.52560190499173,1.7442970161784117,0.5119878909611277,0.893058950525619,0.9095211634964442,20.693346233847905,17.190978934766093,4
12,48,163.27496674887104,0.40865101281374056,9145.349631137284,140.0,283.3901007833325,1.9747939431576116,0.6567197106693462,1.2968861069866204,1.3293418928022456,-42.60423426636439,-46.107864993643716,4
13,48,137.83724671495276,0.40538180471123064,7688.7403927424875,90.0,241.73416494234976,2.5853135565200063,0.6472641838979496,1.67338086928815,1.7385096332285679,-62.96302501396417,-66.46586699230963,4
14,48,156.32129881005034,0.4021387502735408,8796.422018497844,170.0,305.1331606458267,1.7586625607452309,0.5866526853291478,1.0317241138524065,1.0529834592669303,-5.504227670673544,-9.007188076431135,4
15,48,162.59438843731107,0.39892164027135246,9186.838137133871,210.0,346.373636864348,1.6223451137584406,0.5397412972377904,0.8756466562698995,0.8902483623323049,26.549665393098536,23.047843909325735,4
16,48,151.87581793668193,0.39573026714918164,8574.278523514167,190.0,334.7247393808012,1.7298198110597873,0.5212837517650183,0.901726960989395,0.9183503576452368,19.016094716305304,15.513432046486685,4
17,48,156.06223685558058,0.3925644250119882,8804.719373346206,190.0,329.1186312075728,1.7008419325317259,0.5444117174091121,0.9259582775338434,0.9430317855086962,14.327322182337525,10.823960752404702,4
18,48,162.49249910809047,0.38942390961189227,9136.114884575905,170.0,309.91845135261957,1.7862470511950679,0.5998995448289185,1.0715687929673765,1.093646693529565,-12.417369405073174,-15.919937901119681,4
19,48,147.0673223504794,0.38630851833499713,8309.595549649332,190.0,333.5749182232749,1.7238693284688644,0.5069334059513175,0.8738869500983517,0.8900014180761784,24.403328959667192,20.899730564636116,4
20,48,158.93501495456596,0.38321805018831717,8962.8510461037,190.0,326.3842454905547,1.6867092666841612,0.5588321780468102,0.9425874132357358,0.9599685199328966,11.109539848480296,7.605981211789697,4
21,48,156.4987136100813,0.38015230578681064,8772.35171520236,140.0,288.0519328562906,2.007288654738808,0.6197401823816637,1.243997436984792,1.2751239814506636,-35.01436286780739,-38.51735740436803,4
22,48,148.80243677723223,0.3771110873405161,8326.153838125845,120.0,265.03499501070553,2.1459802171865774,0.6393013518776175,1.3719280539551784,1.4119769217037414,-45.93423049152359,-49.43723060586095,4
23,48,157.2712048579663,0.374094198641792,8871.266849670628,190.0,334.96178201934674,1.7310404874876186,0.5389578455843994,0.9329578517584807,0.9501593704728797,12.972866669482869,9.469719609202713,4
24,48,169.1378313075608,0.3711014450526577,9524.46365979858,190.0,331.2708569853955,1.7119664258173817,0.5850887012522835,1.0016522126720293,1.020120186715163,-0.31970831976795466,-3.8228354769010764,4
25,48,154.1099573667426,0.3681326334922364,8697.256419152453,190.0,337.4321955393975,1.7438072601334131,0.524517726728193,0.9146578199400072,0.93152193752011,16.513980556437758,13.010831870247586,4
26,48,169.57431805692784,0.3651875724242985,9548.490012491211,190.0,323.11372682805995,1.6698148402989144,0.6013726920892929,1.0041810458043186,1.0226935355430182,-0.80904376996682,-4.311771754196144,4
27,48,151.54481911833088,0.3622660718449041,8488.386586576258,130.0,276.3796337435332,2.0702215991549515,0.6250050508298123,1.2938989558134972,1.3287589771961392,-39.236227561613646,-42.738667036826854,4
28,48,153.78241013584648,0.3593679432701449,8679.2266271727,190.0,323.72449050869545,1.6729682392287228,0.5455943774438489,0.9127620649681467,0.9295908519054467,16.880808258837135,13.37773813703555,4
29,48,165.17316892219816,0.35649299972398374,9283.67198338736,170.0,318.53824008694824,1.8359294261404135,0.5930927627708728,1.0888764556053792,1.1113101462401263,-15.420282148347638,-18.922724861932778,4
30,48,131.14301422436046,0.35364105572619187,7433.044213373723,190.0,327.45625845204415,1.692260010644981,0.4619317720685606,0.7817086655203845,0.7961181565334693,42.239882281601865,38.73755025784473,4
31,48,144.38812883302418,0.35081192728038235,8049.332792041843,90.0,246.19215613187566,2.6329898706209423,0.6653498831605452,1.7518595027876587,1.8200435812914608,-70.3010346403322,-73.80392231805152,4
32,48,152.40636021356667,0.3480054318621393,8524.531304759545,120.0,272.15767087149203,2.2036653320671267,0.6374033533419338,1.4046236723081136,1.445618433753426,-49.971942034297626,-53.47421205185674,4
33,48,153.59188163198,0.34522138840724215,8555.95209071283,90.0,235.56093014787234,2.5192833664595256,0.7391447509396736,1.8621150764560934,1.9345958338230165,-80.61047518938692,-84.11362504600609,4
34,48,148.62227405035017,0.3424596172999842,8350.072882168226,150.0,289.6437159680123,1.886895901007817,0.5866655265888897,1.1069767773869903,1.1328265543399374,-16.421229867523692,-19.923983152123412,4
35,48,172.91394091969107,0.3397199403615843,9766.155167044151,220.0,347.4769849776607,1.5546853469457382,0.5719551689489697,0.8892103202773962,0.9033693529474779,24.76183618165919,21.258742350651517,4
36,48,156.05119612001687,0.33700218083869166,8691.324716244666,90.0,240.24859154190983,2.5694229183039052,0.7361893646897373,1.891581825853276,1.9652050885957084,-83.3655200871249,-86.86845797557896,4
37,48,150.21193927392403,0.3343061633919821,8527.805321402764,230.0,375.7876162524982,1.6093467425461054,0.461805633779798,0.7432053924149353,0.7545253838686597,59.96236292534903,56.45916170945375,4
38,48,172.08094310933592,0.33163171408484626,9720.302917891555,220.0,354.8610715072045,1.587725213892487,0.5574242436297208,0.8850365264483503,0.899128019900882,25.694661173216957,22.191835620906858,4
39,48,155.92042993074398,0.3289786603721675,8729.241477995483,130.0,278.00908822628077,2.0824279938767867,0.6389721473133353,1.3306134868776376,1.366462031352628,-44.13768654402955,-47.64006407720808,4
40,48,152.966488524399,0.32634683108919016,8600.478258622723,160.0,312.34277249017646,1.9103127144907501,0.5603450695114665,1.0704343107933847,1.093873328511741,-11.516254771625427,-15.019732562972422,4
41,48,158.58931071777587,0.32373605644047665,8932.543112114045,180.0,321.84228475873556,1.753878237134109,0.5648022678785751,0.9905944059192999,1.009873624058394,1.7259566956246033,-1.777252331520799,4
