episode,steps,total_reward,eps,yield_kg_ha,n_applied_kg_ha,n_uptake_kg_ha,nue_re,nue_ie,nue_eunep,nue_fert,nsurp,nsurp_fert,n_apps
1,48,-15.023781768064008,0.4464,8819.391327748455,130.0,280.47183547173097,2.10086099656764,0.6399024458808115,1.344346090164025,1.3805739501407732,-45.971332756288604,-49.47461351968107,4
2,48,-5.093710886040962,0.4428288,8378.315883993944,170.0,301.7559123446242,1.739196004643227,0.5650219971298905,0.982683999947099,1.002933695519258,3.0043798274797666,-0.49872823927677246,4
3,48,-4.632582433631468,0.4392861696,8615.00370774705,210.0,344.17153056714193,1.6120185166003276,0.5093835773204434,0.8211357586950553,0.8348348831038935,38.1881343533625,34.68467454734753,4
4,48,-4.578286319660333,0.4357718802432,9096.710184266749,220.0,355.0695101636172,1.5886528950503025,0.5213572186584086,0.8282556547793869,0.8414456920408495,38.38546527014307,34.88194775017166,4
5,48,-6.021743423890579,0.4322857052012544,8817.906199819725,220.0,324.71753907614357,1.4528522445823162,0.5526168733488109,0.8028706648413539,0.815656323479617,44.05909329711761,40.5556088336686,4
6,48,-15.804634281287308,0.4288274195596444,7610.309054197642,80.0,223.24810526309943,2.6735322060058033,0.6937115505178115,1.8546601719958984,1.9358723656373265,-71.36673484462912,-74.869789252922,1
7,48,-20.56121573469907,0.4253968002031672,8670.3305252554,100.0,248.58934890779454,2.401768083413936,0.70976985523898,1.704702584889169,1.7644122618718296,-72.93858135737756,-76.44122618894738,4
8,48,-13.896694206946101,0.42199362580154187,8993.996570682675,140.0,278.42140552746463,1.940166112104153,0.6573770068647988,1.2754205916001227,1.3073416443720365,-39.523929290408915,-43.027830213392434,4
9,48,-25.358799413386695,0.4186176767951295,7870.082058137338,60.0,213.1898585504818,3.3571798629468583,0.7512372819761489,2.522038675357088,2.669269498007093,-96.6535077528653,-100.15616988309483,4
10,48,-7.250004689164956,0.4152687353807685,8571.597340865934,220.0,356.637388862542,1.5956774782684926,0.4891018477969051,0.7804488031112138,0.792872754026495,49.070170284932686,45.567994113378234,4
11,48,-5.01863731088528,0.41194658549772234,8786.091022851617,190.0,336.2317715136612,1.7376025494937906,0.5317669758261797,0.9239996529349207,0.9410365911267863,14.70631551217025,11.20304768496959,4
12,48,-13.286435011515373,0.40865101281374056,8842.387105163385,140.0,286.61430080670084,1.9972653586326257,0.6278213511432719,1.2539258360527612,1.2853041256342113,-36.43921206786584,-39.942577590074876,4
13,48,-5.431261789488627,0.40538180471123064,9382.24903346427,180.0,312.4878768997497,1.7029034935050749,0.6109957599783603,1.0404668141872675,1.0607153768329842,-7.425781261362545,-10.928767830997884,3
14,48,-15.695687276513798,0.4021387502735408,8445.417393790412,120.0,259.99233580604744,2.105151470280147,0.6610358087293137,1.3915805046596932,1.4322020330183558,-48.36133242760975,-51.86424396363489,4
15,48,-4.7109274173325595,0.39892164027135246,8001.664140097602,190.0,332.66769303212345,1.7191863034698665,0.4894790466917176,0.8415056729104177,0.8570203434217326,30.669126460252272,27.166134749013793,4
16,48,-4.614781092132596,0.39573026714918164,8682.08409095875,210.0,348.5004789840977,1.6322994852783725,0.5069732235821852,0.8275321319054926,0.8413352916674726,36.82236941244847,33.319588748989446,4
17,48,-5.403629373355509,0.3925644250119882,8585.058494898647,170.0,311.4687294412985,1.7951764137688955,0.560910049249592,1.0069324906620498,1.0276820021774105,-1.2028088401820298,-4.7059403711874666,4
18,48,-17.937013862003354,0.38942390961189227,9004.454870669992,120.0,256.70977525239624,2.0785684310513712,0.7138047487177257,1.4836920166250007,1.527005471805061,-59.73749385698818,-63.240656618134324,4
