episode,steps,total_reward,eps,yield_kg_ha,n_applied_kg_ha,n_uptake_kg_ha,nue_re,nue_ie,nue_eunep,nue_fert,nsurp,nsurp_fert,n_apps
1,48,90.01488080172334,0.4464,9091.476069680619,150.0,295.09156996512274,1.9223882764462812,0.626963142455206,1.205266594823892,1.2334102534451148,-31.508952937370907,-35.01153801800061,4
2,48,83.96355548210674,0.4428288,8411.478842719907,120.0,262.4644950491876,2.1251671263698366,0.6521780952376773,1.385987448542889,1.4264466203993638,-47.67060412434992,-51.173594449350105,4
3,48,81.18972850229052,0.4392861696,8128.153955549053,100.0,245.87384945941483,2.3755410481842647,0.6727349547681505,1.5981094996066258,1.6540793299376912,-61.905680468584336,-65.40793299542321,4
4,48,88.46394799731205,0.4357718802432,8880.427360092519,120.0,268.54724292855667,2.1744236197587288,0.6729419181759652,1.4632608016130133,1.5059724731364732,-57.21397151031053,-60.71669677788276,4
5,48,81.42601191407171,0.4322857052012544,8194.766821376228,180.0,298.51463959946716,1.62675959611736,0.5586443098341943,0.9087799918421796,0.9264639156337765,16.739110021454565,13.236495184993771,4
6,48,85.17581950400945,0.4288274195596444,8532.685482748839,120.0,262.3277331511362,2.124059738652025,0.6619206726161765,1.4059590508908477,1.447001246437432,-50.13715746153663,-53.64014957393886,4
7,48,87.69719181963181,0.4253968002031672,8802.765538577689,140.0,281.37820730311694,1.9607924239989734,0.6366387803318518,1.248316497303078,1.2795448479198317,-35.633986546312116,-39.13627871005596,4
8,48,87.49709862339994,0.42199362580154187,8806.752782616804,150.0,296.3795939351285,1.9307822168160604,0.6046887936720581,1.167522369533905,1.194782794167048,-25.715076214714315,-29.21741912625197,4
9,48,91.00652263053168,0.4186176767951295,9152.630452240495,180.0,325.71410637489714,1.774980761015375,0.5718390025396733,1.0150032279092585,1.0347557205669962,-2.75313574113477,-6.256029703094072,4
10,48,88.3118952043356,0.4152687353807685,8874.221794130288,150.0,284.5360281241772,1.85362701436903,0.6346838208871863,1.176467075983578,1.2039360900623164,-27.08810375964447,-30.59041351055137,4
11,48,90.58327627721867,0.41194658549772234,9094.312897086895,150.0,297.5955136885399,1.9386923360830586,0.6218819133435858,1.2056376993519295,1.2337951163632301,-31.56604874084769,-35.06926745571832,4
12,48,90.71111720488854,0.40865101281374056,9170.085238163443,140.0,284.35895541794804,1.9815609087165955,0.656252356538905,1.3004040159752128,1.3329373899663797,-43.108728988489986,-46.611234596626076,4
13,48,90.18112618875956,0.40538180471123064,9108.096902273279,150.0,291.03025659558125,1.8959272121587378,0.6368745783645045,1.2074678438575353,1.2356651464001704,-31.84690817657355,-35.34977196126121,4
