year,classifier_index,match_count,fire_count,matched,fired
1983,0,1,0,True,False
1983,1,1,0,True,False
1983,4,1,0,True,False
1983,5,1,0,True,False
1983,7,5,0,True,False
1983,14,1,0,True,False
1983,15,1,0,True,False
1983,16,1,0,True,False
1983,19,3,0,True,False
1983,23,1,0,True,False
1983,32,1,0,True,False
1983,42,2,0,True,False
1983,63,3,0,True,False
1983,64,3,0,True,False
1983,71,1,0,True,False
1983,79,1,0,True,False
1983,91,1,0,True,False
1983,99,4,0,True,False
1983,108,1,0,True,False
1983,116,1,0,True,False
1983,117,1,0,True,False
1983,122,2,1,True,True
1983,123,1,0,True,False
1983,124,1,0,True,False
1983,127,1,0,True,False
1983,136,1,0,True,False
1983,140,3,0,True,False
1983,149,1,0,True,False
1983,150,1,0,True,False
1983,155,1,0,True,False
1983,165,2,0,True,False
1983,166,1,0,True,False
1983,171,1,1,True,True
1983,172,1,0,True,False
1983,183,1,0,True,False
1983,197,3,0,True,False
1983,198,3,0,True,False
1983,205,3,1,True,True
1983,206,3,3,True,True
1983,209,1,0,True,False
1983,210,4,0,True,False
1983,213,1,0,True,False
1983,214,2,0,True,False
1983,216,1,0,True,False
1983,234,1,0,True,False
1983,237,27,0,True,False
1983,247,2,0,True,False
1983,260,3,1,True,True
1983,269,4,0,True,False
1983,288,2,0,True,False
1983,298,1,0,True,False
1983,301,2,2,True,True
1983,302,2,1,True,True
1983,303,4,0,True,False
1983,305,26,0,True,False
1983,308,3,0,True,False
1983,317,1,1,True,True
1983,320,2,0,True,False
1983,326,4,0,True,False
1983,331,1,0,True,False
1983,332,2,0,True,False
1983,338,3,0,True,False
1983,357,4,0,True,False
1983,358,4,0,True,False
1983,362,3,0,True,False
1983,363,4,0,True,False
1983,367,1,0,True,False
1983,368,1,0,True,False
1983,373,2,1,True,True
1983,381,28,0,True,False
1983,389,1,0,True,False
1983,390,1,0,True,False
1983,396,22,0,True,False
1983,399,2,0,True,False
1983,400,21,0,True,False
1983,404,2,2,True,True
1983,409,2,0,True,False
1983,414,4,0,True,False
1983,415,20,0,True,False
1983,416,1,1,True,True
1983,422,28,0,True,False
1983,427,14,0,True,False
1983,435,14,0,True,False
1983,437,1,1,True,True
1983,439,1,0,True,False
1983,443,4,0,True,False
1983,445,4,0,True,False
1983,451,2,0,True,False
1983,452,1,0,True,False
1983,461,1,0,True,False
1983,482,28,28,True,True
1983,484,28,28,True,True
1983,487,2,0,True,False
1983,505,20,0,True,False
1983,507,19,0,True,False
1983,509,3,2,True,True
1983,512,1,0,True,False
1983,513,1,0,True,False
