year,step,date,dose_kg_ha,action_index,blocked,blocked_reasons,classifier_index
1983,29,1983-04-22,20.0,2,False,,482
1983,29,1983-04-22,20.0,2,False,,484
1983,29,1983-04-22,20.0,2,False,,616
1983,29,1983-04-22,20.0,2,False,,747
1983,30,1983-04-29,70.0,7,False,,171
1983,30,1983-04-29,70.0,7,False,,416
1983,30,1983-04-29,70.0,7,False,,437
1983,30,1983-04-29,70.0,7,False,,611
1983,30,1983-04-29,70.0,7,False,,665
1983,30,1983-04-29,70.0,7,False,,666
1983,30,1983-04-29,70.0,7,False,,763
1983,31,1983-05-06,60.0,6,False,,317
1983,31,1983-05-06,60.0,6,False,,404
1983,31,1983-05-06,60.0,6,False,,534
1983,31,1983-05-06,60.0,6,False,,739
1983,31,1983-05-06,60.0,6,False,,772
1983,32,1983-05-13,60.0,6,False,,404
1983,32,1983-05-13,60.0,6,False,,772
1984,30,1984-04-28,20.0,2,False,,482
1984,30,1984-04-28,20.0,2,False,,484
1984,30,1984-04-28,20.0,2,False,,616
1984,30,1984-04-28,20.0,2,False,,747
1984,31,1984-05-05,70.0,7,False,,171
1984,31,1984-05-05,70.0,7,False,,416
1984,31,1984-05-05,70.0,7,False,,437
1984,31,1984-05-05,70.0,7,False,,611
1984,31,1984-05-05,70.0,7,False,,666
1984,32,1984-05-12,60.0,6,False,,317
1984,32,1984-05-12,60.0,6,False,,404
1984,32,1984-05-12,60.0,6,False,,534
1984,32,1984-05-12,60.0,6,False,,739
1984,32,1984-05-12,60.0,6,False,,772
1984,33,1984-05-19,60.0,6,False,,404
1984,33,1984-05-19,60.0,6,False,,772
1985,29,1985-04-22,20.0,2,False,,482
1985,29,1985-04-22,20.0,2,False,,484
1985,29,1985-04-22,20.0,2,False,,616
1985,29,1985-04-22,20.0,2,False,,747
1985,30,1985-04-29,70.0,7,False,,171
1985,30,1985-04-29,70.0,7,False,,416
1985,30,1985-04-29,70.0,7,False,,437
1985,30,1985-04-29,70.0,7,False,,611
1985,30,1985-04-29,70.0,7,False,,665
1985,30,1985-04-29,70.0,7,False,,666
1985,30,1985-04-29,70.0,7,False,,763
1985,31,1985-05-06,60.0,6,False,,317
1985,31,1985-05-06,60.0,6,False,,404
1985,31,1985-05-06,60.0,6,False,,534
1985,31,1985-05-06,60.0,6,False,,739
1985,31,1985-05-06,60.0,6,False,,772
1985,32,1985-05-13,60.0,6,False,,404
1985,32,1985-05-13,60.0,6,False,,772
1986,31,1986-05-06,20.0,2,False,,482
1986,31,1986-05-06,20.0,2,False,,484
1986,31,1986-05-06,20.0,2,False,,616
1986,31,1986-05-06,20.0,2,False,,747
1986,32,1986-05-13,70.0,7,False,,171
1986,32,1986-05-13,70.0,7,False,,416
1986,32,1986-05-13,70.0,7,False,,437
1986,32,1986-05-13,70.0,7,False,,611
1986,32,1986-05-13,70.0,7,False,,666
1986,33,1986-05-20,60.0,6,False,,317
1986,33,1986-05-20,60.0,6,False,,404
1986,33,1986-05-20,60.0,6,False,,534
1986,33,1986-05-20,60.0,6,False,,739
1986,33,1986-05-20,60.0,6,False,,772
1986,34,1986-05-27,60.0,6,False,,404
1986,34,1986-05-27,60.0,6,False,,772
1988,28,1988-04-14,20.0,2,False,,482
1988,28,1988-04-14,20.0,2,False,,484
1988,28,1988-04-14,20.0,2,False,,616
1988,28,1988-04-14,20.0,2,False,,747
1988,29,1988-04-21,70.0,7,False,,171
1988,29,1988-04-21,70.0,7,False,,416
1988,29,1988-04-21,70.0,7,False,,437
1988,29,1988-04-21,70.0,7,False,,611
1988,29,1988-04-21,70.0,7,False,,666
1988,30,1988-04-28,60.0,6,False,,317
1988,30,1988-04-28,60.0,6,False,,404
1988,30,1988-04-28,60.0,6,False,,534
1988,30,1988-04-28,60.0,6,False,,739
1988,30,1988-04-28,60.0,6,False,,772
1988,31,1988-05-05,60.0,6,False,,404
1988,31,1988-05-05,60.0,6,False,,772
1989,27,1989-04-08,20.0,2,False,,482
1989,27,1989-04-08,20.0,2,False,,484
1989,27,1989-04-08,20.0,2,False,,616
1989,27,1989-04-08,20.0,2,False,,747
1989,28,1989-04-15,70.0,7,False,,171
1989,28,1989-04-15,70.0,7,False,,416
1989,28,1989-04-15,70.0,7,False,,437
1989,28,1989-04-15,70.0,7,False,,611
1989,28,1989-04-15,70.0,7,False,,666
1989,29,1989-04-22,60.0,6,False,,317
1989,29,1989-04-22,60.0,6,False,,404
1989,29,1989-04-22,60.0,6,False,,534
1989,29,1989-04-22,60.0,6,False,,739
1989,29,1989-04-22,60.0,6,False,,772
1989,30,1989-04-29,60.0,6,False,,404
1989,30,1989-04-29,60.0,6,False,,772
1990,26,1990-04-01,20.0,2,False,,482
1990,26,1990-04-01,20.0,2,False,,484
1990,26,1990-04-01,20.0,2,False,,616
1990,26,1990-04-01,20.0,2,False,,747
1990,27,1990-04-08,70.0,7,False,,171
1990,27,1990-04-08,70.0,7,False,,416
1990,27,1990-04-08,70.0,7,False,,437
1990,27,1990-04-08,70.0,7,False,,611
1990,27,1990-04-08,70.0,7,False,,666
1990,28,1990-04-15,60.0,6,False,,317
1990,28,1990-04-15,60.0,6,False,,404
1990,28,1990-04-15,60.0,6,False,,534
1990,28,1990-04-15,60.0,6,False,,739
1990,28,1990-04-15,60.0,6,False,,772
1990,29,1990-04-22,60.0,6,False,,404
1990,29,1990-04-22,60.0,6,False,,772
1991,28,1991-04-15,20.0,2,False,,482
1991,28,1991-04-15,20.0,2,False,,484
1991,28,1991-04-15,20.0,2,False,,616
1991,28,1991-04-15,20.0,2,False,,747
1991,29,1991-04-22,70.0,7,False,,416
1991,29,1991-04-22,70.0,7,False,,666
1991,30,1991-04-29,60.0,6,False,,317
1991,30,1991-04-29,60.0,6,False,,404
1991,30,1991-04-29,60.0,6,False,,534
1991,30,1991-04-29,60.0,6,False,,739
1991,30,1991-04-29,60.0,6,False,,772
1991,31,1991-05-06,60.0,6,False,,404
1991,31,1991-05-06,60.0,6,False,,772
1992,28,1992-04-14,20.0,2,False,,482
1992,28,1992-04-14,20.0,2,False,,484
1992,28,1992-04-14,20.0,2,False,,616
1992,28,1992-04-14,20.0,2,False,,747
1992,29,1992-04-21,70.0,7,False,,171
1992,29,1992-04-21,70.0,7,False,,416
1992,29,1992-04-21,70.0,7,False,,437
1992,29,1992-04-21,70.0,7,False,,666
1992,30,1992-04-28,60.0,6,False,,317
1992,30,1992-04-28,60.0,6,False,,404
1992,30,1992-04-28,60.0,6,False,,534
1992,30,1992-04-28,60.0,6,False,,739
1992,30,1992-04-28,60.0,6,False,,772
1992,31,1992-05-05,60.0,6,False,,404
1992,31,1992-05-05,60.0,6,False,,772
1993,28,1993-04-15,20.0,2,False,,482
1993,28,1993-04-15,20.0,2,False,,484
1993,28,1993-04-15,20.0,2,False,,616
1993,28,1993-04-15,20.0,2,False,,747
1993,29,1993-04-22,70.0,7,False,,171
1993,29,1993-04-22,70.0,7,False,,416
1993,29,1993-04-22,70.0,7,False,,437
1993,29,1993-04-22,70.0,7,False,,611
1993,29,1993-04-22,70.0,7,False,,665
1993,29,1993-04-22,70.0,7,False,,666
1993,29,1993-04-22,70.0,7,False,,763
1993,30,1993-04-29,60.0,6,False,,317
1993,30,1993-04-29,60.0,6,False,,404
1993,30,1993-04-29,60.0,6,False,,534
1993,30,1993-04-29,60.0,6,False,,739
1993,30,1993-04-29,60.0,6,False,,772
1993,31,1993-05-06,60.0,6,False,,404
1993,31,1993-05-06,60.0,6,False,,772
1995,27,1995-04-08,20.0,2,False,,482
1995,27,1995-04-08,20.0,2,False,,484
1995,27,1995-04-08,20.0,2,False,,616
1995,27,1995-04-08,20.0,2,False,,747
1995,28,1995-04-15,70.0,7,False,,171
1995,28,1995-04-15,70.0,7,False,,416
1995,28,1995-04-15,70.0,7,False,,437
1995,28,1995-04-15,70.0,7,False,,611
1995,28,1995-04-15,70.0,7,False,,666
1995,29,1995-04-22,60.0,6,False,,317
1995,29,1995-04-22,60.0,6,False,,404
1995,29,1995-04-22,60.0,6,False,,534
1995,29,1995-04-22,60.0,6,False,,739
1995,29,1995-04-22,60.0,6,False,,772
1995,30,1995-04-29,60.0,6,False,,404
1995,30,1995-04-29,60.0,6,False,,772
1996,30,1996-04-28,20.0,2,False,,482
1996,30,1996-04-28,20.0,2,False,,484
1996,30,1996-04-28,20.0,2,False,,616
1996,30,1996-04-28,20.0,2,False,,747
1996,31,1996-05-05,70.0,7,False,,171
1996,31,1996-05-05,70.0,7,False,,416
1996,31,1996-05-05,70.0,7,False,,437
1996,31,1996-05-05,70.0,7,False,,611
1996,31,1996-05-05,70.0,7,False,,665
1996,31,1996-05-05,70.0,7,False,,666
1996,31,1996-05-05,70.0,7,False,,763
1996,32,1996-05-12,60.0,6,False,,317
1996,32,1996-05-12,60.0,6,False,,404
1996,32,1996-05-12,60.0,6,False,,534
1996,32,1996-05-12,60.0,6,False,,739
1996,32,1996-05-12,60.0,6,False,,772
1996,33,1996-05-19,60.0,6,False,,404
1996,33,1996-05-19,60.0,6,False,,772
1997,27,1997-04-08,20.0,2,False,,482
1997,27,1997-04-08,20.0,2,False,,484
1997,27,1997-04-08,20.0,2,False,,616
1997,27,1997-04-08,20.0,2,False,,747
1997,28,1997-04-15,70.0,7,False,,171
1997,28,1997-04-15,70.0,7,False,,416
1997,28,1997-04-15,70.0,7,False,,437
1997,28,1997-04-15,70.0,7,False,,611
1997,28,1997-04-15,70.0,7,False,,665
1997,28,1997-04-15,70.0,7,False,,666
1997,28,1997-04-15,70.0,7,False,,763
1997,29,1997-04-22,60.0,6,False,,317
1997,29,1997-04-22,60.0,6,False,,404
1997,29,1997-04-22,60.0,6,False,,534
1997,29,1997-04-22,60.0,6,False,,739
1997,29,1997-04-22,60.0,6,False,,772
1997,30,1997-04-29,60.0,6,False,,404
1997,30,1997-04-29,60.0,6,False,,772
1998,27,1998-04-08,20.0,2,False,,482
1998,27,1998-04-08,20.0,2,False,,484
1998,27,1998-04-08,20.0,2,False,,616
1998,27,1998-04-08,20.0,2,False,,747
1998,28,1998-04-15,70.0,7,False,,171
1998,28,1998-04-15,70.0,7,False,,416
1998,28,1998-04-15,70.0,7,False,,437
1998,28,1998-04-15,70.0,7,False,,611
1998,28,1998-04-15,70.0,7,False,,666
1998,29,1998-04-22,60.0,6,False,,317
1998,29,1998-04-22,60.0,6,False,,404
1998,29,1998-04-22,60.0,6,False,,534
1998,29,1998-04-22,60.0,6,False,,739
1998,29,1998-04-22,60.0,6,False,,772
1998,30,1998-04-29,60.0,6,False,,403
1998,30,1998-04-29,60.0,6,False,,404
1998,30,1998-04-29,60.0,6,False,,772
1999,28,1999-04-15,20.0,2,False,,482
1999,28,1999-04-15,20.0,2,False,,484
1999,28,1999-04-15,20.0,2,False,,616
1999,28,1999-04-15,20.0,2,False,,747
1999,29,1999-04-22,70.0,7,False,,171
1999,29,1999-04-22,70.0,7,False,,416
1999,29,1999-04-22,70.0,7,False,,437
1999,29,1999-04-22,70.0,7,False,,611
1999,29,1999-04-22,70.0,7,False,,666
1999,30,1999-04-29,60.0,6,False,,317
1999,30,1999-04-29,60.0,6,False,,404
1999,30,1999-04-29,60.0,6,False,,534
1999,30,1999-04-29,60.0,6,False,,739
1999,30,1999-04-29,60.0,6,False,,772
1999,31,1999-05-06,60.0,6,False,,404
1999,31,1999-05-06,60.0,6,False,,772
2000,27,2000-04-07,20.0,2,False,,482
2000,27,2000-04-07,20.0,2,False,,484
2000,27,2000-04-07,20.0,2,False,,616
2000,27,2000-04-07,20.0,2,False,,747
2000,28,2000-04-14,70.0,7,False,,171
2000,28,2000-04-14,70.0,7,False,,416
2000,28,2000-04-14,70.0,7,False,,437
2000,28,2000-04-14,70.0,7,False,,666
2000,29,2000-04-21,60.0,6,False,,317
2000,29,2000-04-21,60.0,6,False,,404
2000,29,2000-04-21,60.0,6,False,,534
2000,29,2000-04-21,60.0,6,False,,739
2000,29,2000-04-21,60.0,6,False,,772
2000,30,2000-04-28,60.0,6,False,,404
2000,30,2000-04-28,60.0,6,False,,772
2002,27,2002-04-08,20.0,2,False,,482
2002,27,2002-04-08,20.0,2,False,,484
2002,27,2002-04-08,20.0,2,False,,616
2002,27,2002-04-08,20.0,2,False,,747
2002,28,2002-04-15,70.0,7,False,,416
2002,28,2002-04-15,70.0,7,False,,666
2002,29,2002-04-22,60.0,6,False,,317
2002,29,2002-04-22,60.0,6,False,,404
2002,29,2002-04-22,60.0,6,False,,534
2002,29,2002-04-22,60.0,6,False,,739
2002,29,2002-04-22,60.0,6,False,,772
2002,30,2002-04-29,60.0,6,False,,404
2002,30,2002-04-29,60.0,6,False,,772
2003,28,2003-04-15,20.0,2,False,,482
2003,28,2003-04-15,20.0,2,False,,484
2003,28,2003-04-15,20.0,2,False,,616
2003,28,2003-04-15,20.0,2,False,,747
2003,29,2003-04-22,70.0,7,False,,171
2003,29,2003-04-22,70.0,7,False,,416
2003,29,2003-04-22,70.0,7,False,,437
2003,29,2003-04-22,70.0,7,False,,611
2003,29,2003-04-22,70.0,7,False,,665
2003,29,2003-04-22,70.0,7,False,,666
2003,29,2003-04-22,70.0,7,False,,763
2003,30,2003-04-29,60.0,6,False,,317
2003,30,2003-04-29,60.0,6,False,,404
