classifier_index,action,p,eps,F,exp,num,as_size,ts_ga,DVS_lo,DVS_hi,DVS_mask,DVS_lo_raw,DVS_hi_raw,LAI_lo,LAI_hi,LAI_mask,LAI_lo_raw,LAI_hi_raw,RFTRA_lo,RFTRA_hi,RFTRA_mask,RFTRA_lo_raw,RFTRA_hi_raw,WSO_lo,WSO_hi,WSO_mask,WSO_lo_raw,WSO_hi_raw,Nsurp_sofar_lo,Nsurp_sofar_hi,Nsurp_sofar_mask,Nsurp_sofar_lo_raw,Nsurp_sofar_hi_raw,last_dose_kg_ha_lo,last_dose_kg_ha_hi,last_dose_kg_ha_mask,last_dose_kg_ha_lo_raw,last_dose_kg_ha_hi_raw,last_app_gap_days_lo,last_app_gap_days_hi,last_app_gap_days_mask,last_app_gap_days_lo_raw,last_app_gap_days_hi_raw,cum_N_applied_kg_ha_lo,cum_N_applied_kg_ha_hi,cum_N_applied_kg_ha_mask,cum_N_applied_kg_ha_lo_raw,cum_N_applied_kg_ha_hi_raw,IRRAD_7_lo,IRRAD_7_hi,IRRAD_7_mask,IRRAD_7_lo_raw,IRRAD_7_hi_raw,TMEAN_7_lo,TMEAN_7_hi,TMEAN_7_mask,TMEAN_7_lo_raw,TMEAN_7_hi_raw,RAIN_7_lo,RAIN_7_hi,RAIN_7_mask,RAIN_7_lo_raw,RAIN_7_hi_raw,Ndep_sum_lo,Ndep_sum_hi,Ndep_sum_mask,Ndep_sum_lo_raw,Ndep_sum_hi_raw,SM_mean_lo,SM_mean_hi,SM_mean_mask,SM_mean_lo_raw,SM_mean_hi_raw
0,0,0.0,0.0,0.01,0,1,1.0,29,-0.01235356811733454,0.49164643188266544,0,-0.01235356811733454,0.49164643188266544,0.07575926596676283,0.31575926596676285,0,0.6060741277341026,2.526074127734103,0.88,1.1,0,0.88,1.1,-0.1,0.12,0,-1500.0,1800.0,-50.0,-50.0,0,-50.0,-50.0,0.0,10.799999999999999,0,0.0,10.799999999999999,321.2,365.0,0,321.2,365.0,-36.0,43.199999999999996,0,-36.0,43.199999999999996,0.0,210.0,1,0.0,210.0,5.80714285714286,15.407142857142858,0,5.80714285714286,15.407142857142858,0.0,200.0,1,0.0,200.0,-30.0,36.002710774432025,0,-30.0,36.002710774432025,0.1884230319078457,0.4284230319078457,0,0.1884230319078457,0.4284230319078457
1,0,0.0,0.0,0.01,0,1,1.0,29,-0.01235356811733454,0.49164643188266544,0,-0.01235356811733454,0.49164643188266544,0.07575926596676283,0.31575926596676285,0,0.6060741277341026,2.526074127734103,0.0,1.0,1,0.0,1.0,-0.1,0.12,0,-1500.0,1800.0,-50.0,-50.0,0,-50.0,-50.0,0.0,90.0,1,0.0,90.0,321.2,365.0,0,321.2,365.0,-36.0,43.199999999999996,0,-36.0,43.199999999999996,210.0,65799974.8,0,210.0,65799974.8,-10.0,30.0,1,-10.0,30.0,0.0,200.0,1,0.0,200.0,0.0,300.0,1,0.0,300.0,0.1884230319078457,0.4284230319078457,0,0.1884230319078457,0.4284230319078457
2,4,0.0,0.0,0.01,0,1,1.0,30,0.04570893964566647,0.5497089396456665,0,0.04570893964566647,0.5497089396456665,0.0,1.0,1,0.0,8.0,0.88,1.1,0,0.88,1.1,-0.1,0.12,0,-1500.0,1800.0,-50.0,-50.0,0,-50.0,-50.0,0.0,90.0,1,0.0,90.0,321.2,365.0,0,321.2,365.0,-36.0,43.199999999999996,0,-36.0,43.199999999999996,210.0,79799974.8,0,210.0,79799974.8,-10.0,30.0,1,-10.0,30.0,-20.0,24.54,0,-20.0,24.54,-30.0,36.00113839124647,0,-30.0,36.00113839124647,0.0,1.0,1,0.0,1.0
3,0,-5.082066666223957,1.108954286586009,0.9999999999999999,102,1,1.0,653,0.04570893964566647,0.5497089396456665,0,0.04570893964566647,0.5497089396456665,0.13030811784794216,0.37030811784794215,0,1.0424649427835373,2.9624649427835372,0.0,1.0,1,0.0,1.0,0.0,1.0,1,0.0,15000.0,-50.0,150.0,1,-50.0,150.0,0.0,10.799999999999999,0,0.0,10.799999999999999,321.2,365.0,0,321.2,365.0,-36.0,43.199999999999996,0,-36.0,43.199999999999996,0.0,210.0,1,0.0,210.0,4.699999999999998,14.299999999999997,0,4.699999999999998,14.299999999999997,-20.0,24.54,0,-20.0,24.54,0.0,300.0,1,0.0,300.0,0.0,1.0,1,0.0,1.0
4,6,-9.208587097046447,4.174062129229727,0.9999869694513196,22,1,1.0,32,0.20936516858624726,0.7133651685862472,0,0.20936516858624726,0.7133651685862472,0.28217456116859707,0.5221745611685971,0,2.2573964893487766,4.1773964893487765,0.0,1.0,1,0.0,1.0,-0.1,0.12,0,-1500.0,1800.0,-50.0,150.0,1,-50.0,150.0,0.0,10.799999999999999,0,0.0,10.799999999999999,321.2,365.0,0,321.2,365.0,-36.0,43.199999999999996,0,-36.0,43.199999999999996,210.0,139799974.8,0,210.0,139799974.8,8.207142857142856,17.807142857142853,0,8.207142857142856,17.807142857142853,0.0,200.0,1,0.0,200.0,-30.0,36.00009507980505,0,-30.0,36.00009507980505,0.1865941467315828,0.4265941467315828,0,0.1865941467315828,0.4265941467315828
5,4,0.0,0.0,0.01,0,1,1.0,32,0.20936516858624726,0.7133651685862472,0,0.20936516858624726,0.7133651685862472,0.28217456116859707,0.5221745611685971,0,2.2573964893487766,4.1773964893487765,0.8799999999999999,1.1,0,0.8799999999999999,1.1,0.0,1.0,1,0.0,15000.0,-50.0,-50.0,0,-50.0,-50.0,0.0,10.799999999999999,0,0.0,10.799999999999999,321.2,365.0,0,321.2,365.0,-36.0,43.199999999999996,0,-36.0,43.199999999999996,210.0,139799974.8,0,210.0,139799974.8,8.207142857142856,17.807142857142853,0,8.207142857142856,17.807142857142853,-20.0,24.45,0,-20.0,24.45,-30.0,36.00009507980505,0,-30.0,36.00009507980505,0.1865941467315828,0.4265941467315828,0,0.1865941467315828,0.4265941467315828
6,6,-5.891347510579772,2.3380302566593625,0.4930406508675918,36,1,2.4863999896855753,33,0.29655478483906905,0.8005547848390691,0,0.29655478483906905,0.8005547848390691,0.3540034965020671,0.5940034965020671,0,2.8320279720165367,4.752027972016537,0.8799999999999999,1.1,0,0.8799999999999999,1.1,-0.1,0.12,0,-1500.0,1800.0,-50.0,150.0,1,-50.0,150.0,0.0,90.0,1,0.0,90.0,0.0,43.8,0,0.0,43.8,-3.1999999999999957,83.19999999999999,0,-3.1999999999999957,83.19999999999999,210.0,147699974.8,0,210.0,147699974.8,7.978571428571427,17.578571428571426,0,7.978571428571427,17.578571428571426,0.0,200.0,1,0.0,200.0,0.0,300.0,1,0.0,300.0,0.1746820386714909,0.4146820386714909,0,0.1746820386714909,0.4146820386714909
7,6,-5.891347558043311,2.3380300443184576,0.4930431668561173,38,1,2.4863999896855753,33,0.29655478483906905,0.8005547848390691,0,0.29655478483906905,0.8005547848390691,0.3540034965020671,0.5940034965020671,0,2.8320279720165367,4.752027972016537,0.8799999999999999,1.1,0,0.8799999999999999,1.1,-0.1,0.12,0,-1500.0,1800.0,-50.0,150.0,1,-50.0,150.0,0.0,90.0,1,0.0,90.0,0.0,43.8,0,0.0,43.8,-3.1999999999999957,83.19999999999999,0,-3.1999999999999957,83.19999999999999,0.0,210.0,1,0.0,210.0,-10.0,30.0,1,-10.0,30.0,-20.0,24.0,0,-20.0,24.0,-30.0,36.000101237823124,0,-30.0,36.000101237823124,0.0,1.0,1,0.0,1.0
8,2,-9.013535482990298,3.703444296171188,0.9999999999996266,56,1,1.0,34,0.39548255007608946,0.8994825500760895,0,0.39548255007608946,0.8994825500760895,0.0,1.0,1,0.0,8.0,0.0,1.0,1,0.0,1.0,-0.1,0.12,0,-1500.0,1800.0,-50.0,150.0,1,-50.0,150.0,0.0,90.0,1,0.0,90.0,0.0,43.8,0,0.0,43.8,56.800000000000004,143.2,0,56.800000000000004,143.2,0.0,210.0,1,0.0,210.0,-10.0,30.0,1,-10.0,30.0,0.0,200.0,1,0.0,200.0,0.0,300.0,1,0.0,300.0,0.16290517182758357,0.40290517182758356,0,0.16290517182758357,0.40290517182758356
9,4,-11.879863523072784,2.4257400852535396,0.3885437281465028,26,1,2.1530769624009976,37,0.7264644913853445,1.2304644913853444,0,0.7264644913853445,1.2304644913853444,0.36351097801085164,0.6035109780108516,0,2.908087824086813,4.828087824086813,0.88,1.1,0,0.88,1.1,-0.1,0.12,0,-1500.0,1800.0,-50.0,150.0,1,-50.0,150.0,0.0,10.799999999999999,0,0.0,10.799999999999999,0.0,50.8,0,0.0,50.8,96.80000000000001,183.2,0,96.80000000000001,183.2,210.0,158499974.8,0,210.0,158499974.8,11.764285714285712,21.364285714285714,0,11.764285714285712,21.364285714285714,0.0,200.0,1,0.0,200.0,0.0,300.0,1,0.0,300.0,0.0,1.0,1,0.0,1.0
10,0,-10.745143634280346,8.398127567875521,0.4860806728945046,16,1,2.3808599040000002,37,0.7264644913853445,1.2304644913853444,0,0.7264644913853445,1.2304644913853444,0.36351097801085164,0.6035109780108516,0,2.908087824086813,4.828087824086813,0.88,1.1,0,0.88,1.1,0.0,1.0,1,0.0,15000.0,-70.0,-28.931592663482718,0,-70.0,-28.931592663482718,0.0,10.799999999999999,0,0.0,10.799999999999999,0.0,50.8,0,0.0,50.8,96.80000000000001,183.2,0,96.80000000000001,183.2,0.0,210.0,1,0.0,210.0,-10.0,30.0,1,-10.0,30.0,-20.0,24.51,0,-20.0,24.51,-30.0,36.0075194608293,0,-30.0,36.0075194608293,0.14526806967812522,0.3852680696781252,0,0.14526806967812522,0.3852680696781252
11,4,0.0,0.0,0.01,0,1,1.0,39,0.9328255813953488,1.4368255813953488,0,0.9328255813953488,1.4368255813953488,0.35030864948588,0.59030864948588,0,2.80246919588704,4.72246919588704,0.0,1.0,1,0.0,1.0,0.015380913231996779,0.25538091323199674,0,230.7136984799517,3830.7136984799513,-50.0,-50.0,0,-50.0,-50.0,0.0,10.799999999999999,0,0.0,10.799999999999999,0.0,64.8,0,0.0,64.8,96.80000000000001,183.2,0,96.80000000000001,183.2,210.0,113699974.8,0,210.0,113699974.8,9.157142857142858,18.757142857142856,0,9.157142857142858,18.757142857142856,0.0,200.0,1,0.0,200.0,-30.0,36.004148274172486,0,-30.0,36.004148274172486,0.14906110245621967,0.38906110245621967,0,0.14906110245621967,0.38906110245621967
12,0,0.0,0.0,0.01,0,1,1.0,39,0.9328255813953488,1.4368255813953488,0,0.9328255813953488,1.4368255813953488,0.35030864948588,0.59030864948588,0,2.80246919588704,4.72246919588704,0.88,1.1,0,0.88,1.1,0.015380913231996779,0.25538091323199674,0,230.7136984799517,3830.7136984799513,-50.0,-50.0,0,-50.0,-50.0,0.0,10.799999999999999,0,0.0,10.799999999999999,0.0,64.8,0,0.0,64.8,96.80000000000001,183.2,0,96.80000000000001,183.2,0.0,210.0,1,0.0,210.0,9.157142857142858,18.757142857142856,0,9.157142857142858,18.757142857142856,0.0,200.0,1,0.0,200.0,-30.0,36.004148274172486,0,-30.0,36.004148274172486,0.0,1.0,1,0.0,1.0
13,5,0.0,0.0,0.01,0,1,1.0,40,1.0618953488372092,1.5658953488372092,0,1.0618953488372092,1.5658953488372092,0.34418897401333676,0.5841889740133368,0,2.753511792106694,4.673511792106694,0.8800000000000002,1.1,0,0.8800000000000002,1.1,0.0,1.0,1,0.0,15000.0,-50.0,150.0,1,-50.0,150.0,0.0,90.0,1,0.0,90.0,0.0,71.8,0,0.0,71.8,96.80000000000001,183.2,0,96.80000000000001,183.2,210.0,77099974.8,0,210.0,77099974.8,9.864285714285714,19.464285714285715,0,9.864285714285714,19.464285714285715,-20.0,24.09,0,-20.0,24.09,-30.0,36.00235898308352,0,-30.0,36.00235898308352,0.14212366608708665,0.38212366608708664,0,0.14212366608708665,0.38212366608708664
14,0,0.0,0.0,0.01,0,1,1.0,40,1.0618953488372092,1.5658953488372092,0,1.0618953488372092,1.5658953488372092,0.34418897401333676,0.5841889740133368,0,2.753511792106694,4.673511792106694,0.0,1.0,1,0.0,1.0,0.0,1.0,1,0.0,15000.0,-50.0,-50.0,0,-50.0,-50.0,0.0,90.0,1,0.0,90.0,0.0,71.8,0,0.0,71.8,96.80000000000001,183.2,0,96.80000000000001,183.2,0.0,210.0,1,0.0,210.0,9.864285714285714,19.464285714285715,0,9.864285714285714,19.464285714285715,-20.0,24.09,0,-20.0,24.09,-30.0,36.00235898308352,0,-30.0,36.00235898308352,0.14212366608708665,0.38212366608708664,0,0.14212366608708665,0.38212366608708664
